layer                                     name  gradient   parameters                shape         mu      sigma
    0                      model.0.conv.weight      True         3456        [32, 3, 6, 6]    0.00109     0.0554
    1                        model.0.bn.weight      True           32                 [32]          1          0
    2                          model.0.bn.bias      True           32                 [32]          0          0
    3                      model.1.conv.weight      True        16128       [56, 32, 3, 3]  -0.000324     0.0339
    4                        model.1.bn.weight      True           56                 [56]          1          0
    5                          model.1.bn.bias      True           56                 [56]          0          0
    6                  model.2.cv1.conv.weight      True         1568       [28, 56, 1, 1]     0.0023     0.0768
    7                    model.2.cv1.bn.weight      True           28                 [28]          1          0
    8                      model.2.cv1.bn.bias      True           28                 [28]          0          0
    9                  model.2.cv2.conv.weight      True         1568       [28, 56, 1, 1]   -0.00185     0.0787
   10                    model.2.cv2.bn.weight      True           28                 [28]          1          0
   11                      model.2.cv2.bn.bias      True           28                 [28]          0          0
   12                  model.2.cv3.conv.weight      True         3136       [56, 56, 1, 1]   0.000485     0.0773
   13                    model.2.cv3.bn.weight      True           56                 [56]          1          0
   14                      model.2.cv3.bn.bias      True           56                 [56]          0          0
   15              model.2.m.0.cv1.conv.weight      True          784       [28, 28, 1, 1]   -0.00677       0.11
   16                model.2.m.0.cv1.bn.weight      True           28                 [28]          1          0
   17                  model.2.m.0.cv1.bn.bias      True           28                 [28]          0          0
   18              model.2.m.0.cv2.conv.weight      True         7056       [28, 28, 3, 3]   0.000365     0.0362
   19                model.2.m.0.cv2.bn.weight      True           28                 [28]          1          0
   20                  model.2.m.0.cv2.bn.bias      True           28                 [28]          0          0
   21                      model.3.conv.weight      True        52416      [104, 56, 3, 3]   5.42e-05     0.0257
   22                        model.3.bn.weight      True          104                [104]          1          0
   23                          model.3.bn.bias      True          104                [104]          0          0
   24                  model.4.cv1.conv.weight      True         5408      [52, 104, 1, 1]   -0.00107     0.0572
   25                    model.4.cv1.bn.weight      True           52                 [52]          1          0
   26                      model.4.cv1.bn.bias      True           52                 [52]          0          0
   27                  model.4.cv2.conv.weight      True         5408      [52, 104, 1, 1]   3.95e-05     0.0569
   28                    model.4.cv2.bn.weight      True           52                 [52]          1          0
   29                      model.4.cv2.bn.bias      True           52                 [52]          0          0
   30                  model.4.cv3.conv.weight      True        10816     [104, 104, 1, 1]  -0.000217     0.0564
   31                    model.4.cv3.bn.weight      True          104                [104]          1          0
   32                      model.4.cv3.bn.bias      True          104                [104]          0          0
   33              model.4.m.0.cv1.conv.weight      True         2704       [52, 52, 1, 1]   -0.00172     0.0795
   34                model.4.m.0.cv1.bn.weight      True           52                 [52]          1          0
   35                  model.4.m.0.cv1.bn.bias      True           52                 [52]          0          0
   36              model.4.m.0.cv2.conv.weight      True        24336       [52, 52, 3, 3]   0.000141     0.0267
   37                model.4.m.0.cv2.bn.weight      True           52                 [52]          1          0
   38                  model.4.m.0.cv2.bn.bias      True           52                 [52]          0          0
   39              model.4.m.1.cv1.conv.weight      True         2704       [52, 52, 1, 1]    0.00198     0.0792
   40                model.4.m.1.cv1.bn.weight      True           52                 [52]          1          0
   41                  model.4.m.1.cv1.bn.bias      True           52                 [52]          0          0
   42              model.4.m.1.cv2.conv.weight      True        24336       [52, 52, 3, 3]   0.000477     0.0266
   43                model.4.m.1.cv2.bn.weight      True           52                 [52]          1          0
   44                  model.4.m.1.cv2.bn.bias      True           52                 [52]          0          0
   45                      model.5.conv.weight      True       194688     [208, 104, 3, 3]  -3.95e-05     0.0189
   46                        model.5.bn.weight      True          208                [208]          1          0
   47                          model.5.bn.bias      True          208                [208]          0          0
   48                  model.6.cv1.conv.weight      True        21632     [104, 208, 1, 1]   0.000346       0.04
   49                    model.6.cv1.bn.weight      True          104                [104]          1          0
   50                      model.6.cv1.bn.bias      True          104                [104]          0          0
   51                  model.6.cv2.conv.weight      True        21632     [104, 208, 1, 1]  -7.08e-05       0.04
   52                    model.6.cv2.bn.weight      True          104                [104]          1          0
   53                      model.6.cv2.bn.bias      True          104                [104]          0          0
   54                  model.6.cv3.conv.weight      True        43264     [208, 208, 1, 1]  -0.000251       0.04
   55                    model.6.cv3.bn.weight      True          208                [208]          1          0
   56                      model.6.cv3.bn.bias      True          208                [208]          0          0
   57              model.6.m.0.cv1.conv.weight      True        10816     [104, 104, 1, 1]  -1.43e-05     0.0567
   58                model.6.m.0.cv1.bn.weight      True          104                [104]          1          0
