layer                                     name  gradient   parameters                shape         mu      sigma
    0                      model.0.conv.weight      True         3456        [32, 3, 6, 6]  -0.000644     0.0552
    1                        model.0.bn.weight      True           32                 [32]          1          0
    2                          model.0.bn.bias      True           32                 [32]          0          0
    3                      model.1.conv.weight      True        18432       [64, 32, 3, 3]   0.000419      0.034
    4                        model.1.bn.weight      True           64                 [64]          1          0
    5                          model.1.bn.bias      True           64                 [64]          0          0
    6                  model.2.cv1.conv.weight      True         2048       [32, 64, 1, 1]    0.00011     0.0728
    7                    model.2.cv1.bn.weight      True           32                 [32]          1          0
    8                      model.2.cv1.bn.bias      True           32                 [32]          0          0
    9                  model.2.cv2.conv.weight      True         2048       [32, 64, 1, 1]  -0.000637     0.0716
   10                    model.2.cv2.bn.weight      True           32                 [32]          1          0
   11                      model.2.cv2.bn.bias      True           32                 [32]          0          0
   12                  model.2.cv3.conv.weight      True         4096       [64, 64, 1, 1]    0.00243     0.0723
   13                    model.2.cv3.bn.weight      True           64                 [64]          1          0
   14                      model.2.cv3.bn.bias      True           64                 [64]          0          0
   15              model.2.m.0.cv1.conv.weight      True         1024       [32, 32, 1, 1]   -0.00169      0.103
   16                model.2.m.0.cv1.bn.weight      True           32                 [32]          1          0
   17                  model.2.m.0.cv1.bn.bias      True           32                 [32]          0          0
   18              model.2.m.0.cv2.conv.weight      True         9216       [32, 32, 3, 3]   8.07e-07     0.0341
   19                model.2.m.0.cv2.bn.weight      True           32                 [32]          1          0
   20                  model.2.m.0.cv2.bn.bias      True           32                 [32]          0          0
   21                      model.3.conv.weight      True        73728      [128, 64, 3, 3]   0.000104     0.0241
   22                        model.3.bn.weight      True          128                [128]          1          0
   23                          model.3.bn.bias      True          128                [128]          0          0
   24                  model.4.cv1.conv.weight      True         8192      [64, 128, 1, 1]   0.000286     0.0512
   25                    model.4.cv1.bn.weight      True           64                 [64]          1          0
   26                      model.4.cv1.bn.bias      True           64                 [64]          0          0
   27                  model.4.cv2.conv.weight      True         8192      [64, 128, 1, 1]  -0.000538     0.0512
   28                    model.4.cv2.bn.weight      True           64                 [64]          1          0
   29                      model.4.cv2.bn.bias      True           64                 [64]          0          0
   30                  model.4.cv3.conv.weight      True        16384     [128, 128, 1, 1]   0.000106     0.0512
   31                    model.4.cv3.bn.weight      True          128                [128]          1          0
   32                      model.4.cv3.bn.bias      True          128                [128]          0          0
   33              model.4.m.0.cv1.conv.weight      True         4096       [64, 64, 1, 1]  -1.28e-05     0.0723
   34                model.4.m.0.cv1.bn.weight      True           64                 [64]          1          0
   35                  model.4.m.0.cv1.bn.bias      True           64                 [64]          0          0
   36              model.4.m.0.cv2.conv.weight      True        36864       [64, 64, 3, 3]   8.06e-05      0.024
   37                model.4.m.0.cv2.bn.weight      True           64                 [64]          1          0
   38                  model.4.m.0.cv2.bn.bias      True           64                 [64]          0          0
   39              model.4.m.1.cv1.conv.weight      True         4096       [64, 64, 1, 1]   0.000309     0.0728
   40                model.4.m.1.cv1.bn.weight      True           64                 [64]          1          0
   41                  model.4.m.1.cv1.bn.bias      True           64                 [64]          0          0
   42              model.4.m.1.cv2.conv.weight      True        36864       [64, 64, 3, 3]  -0.000147     0.0241
   43                model.4.m.1.cv2.bn.weight      True           64                 [64]          1          0
